State,OCTO Location ID,Address,Area / Sub,"Building Validation Commercial
/Residential",GNAF Units,OCTO Device,MDF Share,Latitude,Longitude,Hubsite ID,Hubsite,Cabinet Type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSW,385,339 SUSSEX ST SYDNEY NSW 2000,SYDNEY,residential,445,VDSL,Standalone Only,-33.875918,151.204148,syd-livp,133 LIVERPOOL ST SYDNEY NSW,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSW,401,2-8 DIXON ST SYDNEY NSW 2000,SYDNEY,residential,139,VDSL,Standalone Only,-33.876571,151.204032,syd-livp,133 LIVERPOOL ST SYDNEY NSW,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSW,402,28 HARBOUR ST SYDNEY NSW 2000,SYDNEY,residential,482,VDSL,Standalone Only,-33.876572,151.203665,syd-livp,133 LIVERPOOL ST SYDNEY NSW,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSW,406,359-361 SUSSEX ST SYDNEY NSW 2000,SYDNEY,residential,105,VDSL,Standalone Only,-33.876718,151.204431,syd-livp,133 LIVERPOOL ST SYDNEY NSW,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSW,409,569-581 GEORGE ST SYDNEY NSW 2000,SYDNEY,residential,425,VDSL,Standalone Only,-33.876808,151.205456,syd-livp,133 LIVERPOOL ST SYDNEY NSW,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSW,412,393 PITT ST SYDNEY NSW 2000,SYDNEY,Residential,310,VDSL,Standalone Only,-33.877211,151.207449,syd-livp,133 LIVERPOOL ST SYDNEY NSW,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSW,430,17-25 WENTWORTH AVE SYDNEY NSW 2000,SYDNEY,residential,126,VDSL,Standalone Only,-33.877806,151.211301,syd-livp,133 LIVERPOOL ST SYDNEY NSW,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSW,433,27 COMMONWEALTH ST SYDNEY NSW 2000,SYDNEY,residential,7,VDSL,Slave Only,-33.877864,151.210846,syd-livp,133 LIVERPOOL ST SYDNEY NSW,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSW,434,29 COMMONWEALTH ST SYDNEY NSW 2000,SYDNEY,residential,48,VDSL,Master Only,-33.877931,151.210843,syd-livp,133 LIVERPOOL ST SYDNEY NSW,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSW,443,2-4 CUNNINGHAM ST HAYMARKET NSW 2000,SYDNEY,residential,182,VDSL,Standalone Only,-33.878396,151.206747,syd-livp,133 LIVERPOOL ST SYDNEY NSW,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSW,450,718 GEORGE ST HAYMARKET NSW 2000,SYDNEY,residential,226,VDSL,Standalone Only,-33.878633,151.20603,syd-livp,133 LIVERPOOL ST SYDNEY NSW,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSW,457,414-418 PITT ST HAYMARKET NSW 2000,SYDNEY,residential,155,VDSL,Slave Only,-33.879126,151.20786,syd-livp,133 LIVERPOOL ST SYDNEY NSW,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSW,472,142-148 ELIZABETH ST SYDNEY NSW 2000,SYDNEY,residential,177,VDSL,Standalone Only,-33.87775,151.209902,syd-livp,133 LIVERPOOL ST SYDNEY NSW,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSW,473,16 DALGETY RD MILLERS POINT NSW 2000,SYDNEY,residential,15,VDSL,Slave Only,-33.857028,151.202941,syd-kent,201 KENT ST SYDNEY NSW,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSW,474,20 DALGETY RD MILLERS POINT NSW 2000,SYDNEY,residential,10,VDSL,Slave Only,-33.857028,151.202941,syd-kent,201 KENT ST SYDNEY NSW,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSW,478,183 KENT ST SYDNEY NSW 2000,SYDNEY,residential,159,VDSL,Master Only,-33.862877,151.203648,syd-kent,201 KENT ST SYDNEY NSW,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
